RecordedDate,Finished,treatment,criterion,demo_sets_attempted,demo_sets_completed,demo_mistakes,sets_attempted,sets_completed,mistakes,Q5.1,Q5.2,Q5.2_7_TEXT,Q5.3,Q5.4,Q5.7,Q5.8,Q5.9,Q5.10,Q5.11,Q5.11_4_TEXT,Q5.12,Q6.1_1,Q6.1_3,Q6.1_4,Q6.1_5,Q6.1_6,Q6.1_2,Q6.1_7,Q7.1_1,Q7.1_3,Q7.1_4,Q7.1_5,Q7.1_6,Q7.1_2,Q7.1_9,Q2.1_Page Submit,Q262_Page Submit,Q21.1_Page Submit,Q22.1_Page Submit,Q23.1_Page Submit
2025-04-24 10:29:10,True,3,strict,3,3,0,21,21,1,Male,Hispanic,,2006,"25,000 - 49,999",No,Yes but only for accuracy target,25,0,,,Yes,25,30,40,55,70,85,100,20,50,60,75,80,100,150,30.038,,,52.867,
2025-04-24 10:29:16,True,2,lenient,4,4,0,28,28,1,Male,Asian,,2005,"200,000 and over",Yes,Yes but only for accuracy target,20,0-1,Other,Making a mistake would not save me much time.,Yes,100,500,250,750,200,1000,1000,0,0,500,250,750,1000,1000,12.456,,22.938,,
2025-04-24 10:29:17,True,4,lenient,3,1,2,21,21,1,Male,Asian,,2004,"200,000 and over",Yes,Yes but only for accuracy target,10,2,,,,0,0,0,0,0,0,0,,,,,,,,6.382,,,,16.553
2025-04-24 10:29:31,True,4,strict,4,4,0,18,17,1,Female,Black,,2006,"25,000 - 49,999",No,Yes for both targets.,20,1,,,,10,10,50,10,10,10,50,10,10,10,30,40,15,50,17.547,,,,25.507
2025-04-24 10:29:41,True,4,lenient,5,5,1,28,28,1,Male,White,,2006,"75,000 - 119,999",No,Yes for both targets.,Try to complete as close to the goal as possible,0,,,,250,375,500,625,750,875,1000,300,400,500,600,700,800,1000,34.684,,,,43.421
2025-04-24 10:29:59,True,1,strict,5,5,2,24,24,0,Female,Asian,,2006,"120,000 - 199,999",No,,"As many as possible
",I tried to get everything correct,,,,0,0,5,8,80,100,150,10,10,30,15,32,50,17,40.373,5.415,,,
2025-04-24 10:30:02,True,2,strict,5,5,1,25,25,3,Female,Asian,,2006,"120,000 - 199,999",No,Yes for both targets.,30,5,,,Yes,1,8,5,10,10,20,10,5,5,10,10,10,10,30,20.082,,10.586,,
2025-04-24 10:30:05,True,1,strict,4,4,0,22,21,14,Female,Hispanic,,2005,"200,000 and over",No,,15,<3 average per set,,,,500,400,600,700,800,900,1000,100,300,400,200,500,600,700,29.296,14.245,,,
2025-04-24 10:30:16,True,3,strict,5,5,0,25,25,0,Female,Black,,2005,"50,000 - 74,999",Yes,Yes for both targets.,all,0,,,No,300,500,600,800,1000,900,1000,200,600,700,1000,1000,1000,1000,21.12,,,76.384,
2025-04-24 10:30:25,True,2,lenient,5,5,1,26,26,2,Male,Other,Mixed White and African American,2005,"200,000 and over",No,Yes for both targets.,45,0,,,Yes,50,750,750,1000,1000,1000,1000,100,500,500,750,1000,750,1000,21.933,,28.74,,
2025-04-24 10:30:35,True,1,strict,4,4,0,24,24,0,Male,White,,2005,"120,000 - 199,999",No,,I did not have a goal in mind,"0, I made sure it was correct before continuing ",,,,1000,1000,1000,1000,1000,1000,1000,500,750,1000,1000,1000,1000,1000,12.994,5.219,,,
2025-04-24 10:31:13,True,3,strict,5,5,0,30,30,0,Male,Asian,,2006,,No,Yes for both targets.,40,0,,,No,0,0,0,0,0,1000,1000,o,o,0,0,0,1000,0,11.822,,,19.301,
2025-04-24 10:31:28,True,2,strict,5,5,1,29,29,1,Male,Asian,,2006,"200,000 and over",No,Yes but only for accuracy target,"I tried to complete 35 sets but did not accomplish it. ","I tried to limit myself to 0 or 1 mistake. ",Other,,Yes,40,50,60,65,65,70,75,20,60,40,50,50,60,70,15.205,,12.752,,
2025-04-24 10:31:31,True,2,lenient,4,4,0,20,20,0,Female,White,,2006,"0 - 24,999",No,Yes but only for accuracy target,30,0,Did not care about target(s),,No,0,200,600,700,900,1000,1000,0,200,400,500,600,700,1000,14.115,,34.451,,
2025-04-24 10:31:56,True,3,strict,4,4,1,24,24,4,Female,Asian,,2006,"50,000 - 74,999",No,Yes but only for accuracy target,45,5,Did not care about target(s),,No,300,500,700,800,900,950,1000,100,250,400,500,600,900,1000,29.21,,,27.312,
2025-04-24 10:31:59,True,1,strict,4,4,0,18,18,0,Female,White,,2004,"200,000 and over",No,,15,0,,,,2,15,20,50,55,55,60,0,15,30,30,50,50,60,16.269,2.28,,,
2025-04-24 10:32:08,True,4,lenient,5,5,0,20,19,14,Female,Asian,,2005,"75,000 - 119,999",No,Yes for both targets.,,,,,,26,203,9,1,7,8,30,6,4,8,7,5,3,1,4.568,,,,8.47
2025-04-24 10:32:11,True,3,strict,6,5,1,30,30,2,Female,Asian,,2005,"200,000 and over",No,Yes but only for accuracy target,40,1,Too difficult to achieve target(s),,Yes,30,200,300,400,300,500,1000,10,300,300,300,300,400,500,82.519,,,39.75,
2025-04-24 10:33:53,True,3,lenient,4,4,0,23,23,0,Female,White,,2005,"120,000 - 199,999",No,Yes for both targets.,40,0,,,Yes,20,20,20,30,30,40,40,30,30,30,40,49,40,40,10.599,,,8.673,
2025-04-24 10:34:46,True,4,lenient,4,4,0,20,20,0,Male,White,,2005,"200,000 and over",No,Yes for both targets.,As many as I could,Non,,,,50,50,75,200,500,600,100,0,0,300,200,800,500,1000,23.272,,,,13.029
2025-04-24 10:35:13,True,1,strict,4,4,0,17,17,0,Male,Asian,,2005,"200,000 and over",No,,15,0,,,,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,3.07,1.931,,,
2025-04-24 10:35:43,True,1,strict,5,5,0,30,30,1,Female,Asian,,2006,"75,000 - 119,999",No,,I did not set a goal,0,,,,20,14,10,8,67,58,50,"50, 13","25, 20","20, 67","17, 53","13, 45","12, 39","10, 34",23.212,19.361,,,
2025-04-24 10:35:48,True,2,strict,3,3,0,17,17,0,Female,Asian,,2004,"200,000 and over",No,Yes but only for speed target,"All
",0,Did not care about target(s),,Yes,100,100,800,900,900,800,900,900,900,999,900,999,1000,999,3.848,,10.31,,
2025-04-24 10:36:02,True,2,lenient,6,6,0,29,29,1,Male,White,,2006,"200,000 and over",No,Yes but only for accuracy target,"I tried to just do as many accurately as I could, without concern for speed","I tried to limit myself to 4, but ended up not using most of them",Too difficult to achieve target(s),,Yes,50,50,60,70,80,100,100,50,50,70,80,80,120,150,3.948,,59.661,,
2025-04-24 10:36:17,True,1,strict,6,6,1,28,28,1,Male,White,,2005,"200,000 and over",Yes,,as many as possible,"tried to be perfect, made 1 mistake",,,,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1.656,3.567,,,
2025-04-24 10:38:13,True,1,strict,3,3,0,14,14,1,Female,Black,,2006,"0 - 24,999",No,,All,0,,,,,,,,,,,,,,,,,,28.179,9.247,,,
2025-04-24 10:40:42,True,4,lenient,4,4,1,19,18,1,Female,White,,2006,"120,000 - 199,999",No,Yes for both targets.,15,1,,,,100,100,100,150,170,200,1000,50,100,100,200,200,250,250,17.352,,,,33.125
2025-04-24 10:40:50,True,3,strict,6,6,0,28,28,0,Male,,,2006,,No,,,,,,,,,,,,,,,,,,,,,35.897,,,29.304,
2025-04-24 10:41:32,True,2,lenient,5,5,0,22,22,0,Female,White,,2004,"200,000 and over",Yes,Yes for both targets.,40,0,,,Yes,20,25,40,35,43,45,50,5,10,25,25,15,40,40,12.718,,531.852,,
2025-04-24 10:43:52,True,4,lenient,5,5,0,25,25,2,Female,,,,,Yes,Yes but only for accuracy target,,,,,,,,,,,,,,,,,,,,13.04,,,,6.776
2025-04-24 10:47:52,True,3,strict,5,5,0,26,26,1,Female,Asian,,2006,"25,000 - 49,999",No,Yes for both targets.,all,0,,,No,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,111.033,,,22.121,
2025-04-24 10:49:34,True,4,lenient,6,6,0,33,33,1,Male,Asian,,2001,"50,000 - 74,999",No,Yes for both targets.,35,2,,,,50,150,250,350,500,750,1000,400,500,500,750,750,1000,1000,27.442,,,,18.941
2025-04-24 10:49:54,True,2,lenient,5,5,0,26,26,5,,,,,,No,Yes but only for accuracy target,45,4,Did not care about target(s),,Yes,0,0,100,200,500,800,1000,0,100,100,200,900,1000,500,8.991,,16.27,,
2025-04-24 10:52:34,True,1,strict,6,6,0,32,32,3,Male,White,,2006,"200,000 and over",Yes,,"I didn't have a target, just trying to complete as many as possible.",I wanted to make 0 mistakes.,,,,5,8,10,13,15,17,20,5,5,28,20,8,22,35,10.949,4.439,,,
2025-04-24 10:53:04,True,3,lenient,6,6,0,35,30,9,Male,White,,2004,"0 - 24,999",Yes,Yes for both targets.,45,"Was going to see my rate. After seeing I was not going to make it, went for 18 mistakes because I was going to fail either way if strict criteria",,,No,30,30,1000,1000,1000,1000,1000,30,40,1000,1000,1000,1000,1000,56.624,,,130.705,
2025-04-24 10:54:27,True,1,strict,5,4,1,17,17,0,Male,Asian,,2004,"200,000 and over",No,,15,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.951,8.48,,,
2025-04-24 10:54:52,True,4,lenient,5,5,0,27,27,0,Female,Asian,,2005,"25,000 - 49,999",Yes,Yes for both targets.,10,0,,,,10,10,40,10,10,40,50,8,30,10,20,45,40,50,1.711,,,,15.679
2025-04-24 10:55:38,True,2,lenient,6,6,0,35,35,0,Male,Asian,,2004,"200,000 and over",No,Yes but only for accuracy target,45,0,Too difficult to achieve target(s),,No,0,0,0,0,0,0,1000,,,,,,,,2.643,,14.723,,
2025-04-24 10:58:13,True,1,strict,4,4,0,21,21,0,Female,White,,2005,"120,000 - 199,999",Yes,,20,1,,,,50,75,100,125,150,175,200,50,75,100,125,150,175,200,38.371,6.797,,,
2025-04-24 10:59:36,True,2,strict,4,4,0,27,27,1,Female,Other,Black and Hispanic,2003,"200,000 and over",No,Yes for both targets.,30,30,,,Yes,10,10,10,20,20,20,30,2c - 10 / 8c - 20,4c - 30 / 11c - 40,5c - 20 / 15c - 30,6c - 33 / 19c - 40,8c - 33 / 22c - 40,9c - 35 / 26c - 45,10c - 40 / 30c - 50,21.384,,20.106,,
2025-04-24 11:00:55,True,4,lenient,6,6,0,31,31,0,Male,Other,"Asian, White",2005,"200,000 and over",No,Yes for both targets.,45,0,,,,10,20,50,372,100,400,500,0,100,150,200,300,372,500,7.792,,,,141.667
2025-04-24 11:06:56,True,2,lenient,1,1,0,18,18,0,Female,Asian,,2005,,No,Yes for both targets.,20,0,,,Yes,100,200,700,250,500,600,600,1000,1000,10000,1000,1000,1000,1000,7.177,,390.715,,
2025-04-24 11:07:11,True,1,strict,3,2,3,23,23,2,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,2.971,4.785,,,
2025-04-24 11:08:15,True,1,strict,5,5,0,25,25,1,Female,Asian,,2006,,No,,"around 30 ","zero ",,,,90,90,100,120,130,140,200,30,30,30,40,50,50,50,1.891,6.207,,,
2025-04-24 11:08:30,True,4,lenient,4,4,4,34,26,28,Male,White,,2006,"75,000 - 119,999",No,No for both targets,45,5,Too difficult to achieve target(s),,,0,6,7,100,4,100,5,2,4,50,5,7,8,100,12.722,,,,27.599
2025-04-24 11:19:48,True,1,strict,6,6,0,34,34,3,Male,White,,2006,"200,000 and over",No,,As many as possible,I aimed for 0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.029,6.162,,,
2025-04-24 11:20:31,True,4,lenient,5,5,0,30,30,0,Female,White,,2006,"200,000 and over",No,Yes but only for accuracy target,I'm not sure. I think 30?,I wanted to make no mistakes.,Too difficult to understand/ recall target(s),,,None,None,None,30,30,30,30,None,None,None,None,40,40,30,26.451,,,,19.939
2025-04-24 11:21:33,True,3,strict,5,5,0,27,27,0,Female,Asian,,2006,,Yes,Yes for both targets.,45,4,,,Yes,100,100,100,100,100,100,100,100,100,100,100,100,100,100,41.509,,,53.558,
2025-04-24 11:22:30,True,2,lenient,8,8,8,28,28,0,Male,Asian,,2006,"200,000 and over",Yes,Yes for both targets.,40,0,,,Yes,1000,1000,1000,1000,1000,1000,1000,50,300,90,100,300,400,70,7.992,,18.081,,
2025-04-24 11:24:13,True,2,lenient,5,5,0,32,31,1,Male,Asian,,2006,"200,000 and over",No,Yes for both targets.,,,,,Yes,,,,,,,,,,,,,,,7.244,,14.836,,
2025-04-24 11:28:18,True,3,lenient,5,5,0,28,28,1,Female,Asian,,2006,"200,000 and over",No,No for both targets,all,0,Did not care about target(s),,No,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,21.144,,,18.644,
2025-04-24 11:38:34,True,1,strict,5,5,0,31,31,0,Female,Asian,,2006,"200,000 and over",Yes,,30,0,,,,0,0,0,0,10,10,10,0,0,0,0,30,20,40,12.572,1.464,,,
2025-04-24 11:39:08,True,4,lenient,5,5,0,23,23,1,Female,Asian,,2006,"75,000 - 119,999",Yes,Yes for both targets.,20,0,,,,200,800,1000,1000,1000,1000,1000,400,400,600,1000,1000,800,1000,7.257,,,,2024.3
2025-04-24 11:42:57,True,4,lenient,8,8,0,33,33,4,Male,Other,Indian,2006,"200,000 and over",Yes,Yes for both targets.,45,2,,,,5,50,200,300,700,400,1000,1,70,200,300,300,600,1000,2.141,,,,4.703
2025-04-24 11:46:57,True,3,strict,6,6,0,33,33,0,Male,Asian,,2005,"200,000 and over",No,Yes for both targets.,25,1,,,Yes,0,10,50,50,100,60,100,,,,,,,,89.219,,,23.834,
2025-04-24 11:47:16,True,4,lenient,5,5,0,33,33,0,Male,White,,2004,"200,000 and over",No,Yes but only for accuracy target,As many as I could while being accurate,Zero,Too difficult to achieve target(s),,,1000,1000,1000,1000,1000,1000,1000,500,400,650,1000,1000,1000,1000,7.937,,,,19.165
2025-04-24 11:48:04,True,3,lenient,3,3,0,20,20,0,Female,Asian,,2006,"120,000 - 199,999",Yes,Yes for both targets.,,,,,No,,,,,,,,,,,,,,,8.742,,,41.412,
2025-04-24 11:49:38,True,2,lenient,6,6,0,28,28,0,Female,White,,2006,"200,000 and over",No,Yes for both targets.,,,,,No,,,,,,,,,,,,,,,13.722,,8.673,,
2025-04-24 11:52:15,True,4,lenient,5,5,0,28,28,1,Male,White,,2005,"200,000 and over",Yes,Yes for both targets.,45,1,,,,50,65,75,125,150,175,200,20,20,50,40,20,50,50,3.157,,,,20.897
2025-04-24 11:52:54,True,4,lenient,4,4,1,23,23,0,Male,White,,2005,,No,Yes for both targets.,"As many as I could ",Tried to have as few mistakes as possible,,,,0,0,0,0,0,0,0,0,0,00,0,0,0,0,63.283,,,,45.291
2025-04-24 12:07:20,True,3,strict,7,7,1,35,35,1,Male,White,,2006,"200,000 and over",No,Yes but only for accuracy target,45,4,Too difficult to achieve target(s),,Yes,0,100,200,300,400,500,600,200,300,350,350,400,450,600,3.314,,,20.476,
2025-04-24 12:21:10,True,3,strict,5,5,0,27,22,5,Male,White,,2005,"200,000 and over",Yes,Yes but only for accuracy target,I don't know,4,"Too difficult to achieve target(s),Too difficult to understand/ recall target(s),Did not care about target(s)",,Yes,10,123,100,100,100,100,200,0,10,50,20,50,50,100,24.457,,,51.63,
2025-04-24 12:45:23,True,3,strict,4,4,2,21,21,0,Male,Asian,,2004,"200,000 and over",Yes,Yes for both targets.,45,0,,,No,0,0,40,40,40,50,50,0,0,40,50,40,10,50,28.5,,,30.652,
2025-04-24 12:50:55,True,1,strict,4,4,0,19,19,2,Female,Black,,2005,"75,000 - 119,999",Yes,,"I did not know ","0 ",,,,2,5,5,5,6,6,10,0,0,0,0,3,6,5,10.363,1.9,,,
2025-04-24 12:59:45,True,1,strict,4,4,2,24,24,0,Female,White,,2006,,No,,As many as I could with no mistakes,0,,,,100,100,500,500,750,750,1000,100,200,400,750,900,1000,1000,12.927,5.223,,,
2025-04-24 12:59:59,True,1,strict,5,5,2,26,26,3,Male,Asian,,2005,"200,000 and over",No,,30,5,,,,30,30,25,10,15,30,25,10,10,10,10,10,10,10,40.606,4.933,,,
2025-04-24 13:04:22,True,3,strict,6,6,0,34,34,1,Male,White,,2006,"50,000 - 74,999",Yes,Yes for both targets.,I wanted to complete at least 45,I didn't want to make any mistakes at all,,,Yes,100,150,200,250,400,1000,1000,200,250,300,300,350,300,350,46.244,,,37.118,
2025-04-24 13:07:20,True,2,lenient,4,4,0,20,20,0,Female,Asian,,2006,"25,000 - 49,999",No,Yes for both targets.,10,0,,,,5,10,10,10,15,20,25,10,10,10,20,20,25,25,2.228,,23.418,,
2025-04-24 13:20:10,True,3,strict,13,0,13,26,26,3,Male,Asian,,2006,"200,000 and over",Yes,Yes for both targets.,,,,,Yes,,,,,,,,,,,,,,,2.465,,,2.423,
2025-04-24 13:23:34,True,4,lenient,5,5,0,28,27,8,Female,White,,2005,"75,000 - 119,999",No,Yes for both targets.,"I wanted to complete at least 40 and then quickly realized I was going much too slow. ","I wanted to limit myself to 7 mistakes. ",,,,50,100,1000,500,1000,1000,1000,0,50,100,500,500,1000,1000,2.031,,,,10.926
2025-04-24 13:25:19,True,1,strict,7,7,5,30,30,10,Male,White,,2006,"200,000 and over",No,,"I aimed to complete all the tasks, 30","I wasn't too concerned with mistakes, more speed.",,,,400,200,300,500,700,1000,800,35,50,10,40,50,40,70,18.855,5.613,,,
2025-04-24 13:26:26,True,1,strict,5,5,1,26,26,0,Male,White,,2006,"200,000 and over",No,,As much as possible,5,,,,,,,,,,,,,,,,,,4.47,1.403,,,
2025-04-24 13:38:20,True,2,lenient,5,5,0,28,27,2,Male,Asian,,2005,"200,000 and over",Yes,Yes for both targets.,25,3,,,Yes,30,35,35,40,30,45,50,20,30,40,25,20,20,100,44.407,,102.102,,
2025-04-24 14:15:10,True,3,lenient,5,5,0,30,30,0,Male,Black,,2006,"120,000 - 199,999",No,Yes but only for accuracy target,The target of 45,0,Other,"I tried to achieve the target of 45 but did not realize I could not be perfect in the allotted amount of time ",No,0,0,0,0,1000,1000,1000,0,0,0,1000,1000,1000,1000,27.923,,,56.316,
2025-04-24 14:26:56,True,2,lenient,5,5,0,29,29,1,Female,Asian,,2006,,Yes,Yes for both targets.,30,0,,,No,,,,,,,,,,,,,,,27.737,,31.218,,
2025-04-24 14:53:55,True,3,lenient,4,4,0,22,22,1,Male,Asian,,08/26/2004,"200,000 and over",No,Yes for both targets.,"all of them 20 ","trying to make all of them correct ",,,Yes,30,50,30,60,50,100,700,3,20,300,20,200,300,300,21.777,,,7.714,
2025-04-24 15:01:23,True,4,strict,4,4,2,26,26,3,Female,Black,,2005,"75,000 - 119,999",No,Yes for both targets.,As many as possible,As little as possible,,,,2,4,4,4,15,6,25,10,5,15,5,5,50,50,36.912,,,,38.745
2025-04-24 15:09:01,True,3,strict,4,4,0,23,23,1,Male,Black,,2005,"200,000 and over",No,Yes for both targets.,I aimed to complete 45 sets.,I wanted to limit myself to 0 mistakes.,,,Yes,10,40,45,40,50,50,50,5,15,20,25,20,40,60,99.697,,,30.264,
2025-04-24 15:11:58,True,1,strict,4,4,0,21,21,7,Female,Hispanic,,,"0 - 24,999",Yes,,All of them.,3,,,,1000,900,700,500,300,200,100,1000,1000,1000,1000,1000,1000,1000,3.919,3.651,,,
2025-04-24 15:22:24,True,4,lenient,6,6,0,26,25,2,Female,Asian,,2004,"0 - 24,999",No,Yes for both targets.,45,2,,,,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5.995,,,,15331.288
2025-04-24 16:04:19,True,4,strict,6,6,1,30,30,3,Male,White,,2006,"200,000 and over",Yes,Yes for both targets.,I aimed to complete 45 sets.,I aimed to limit myself to five mistakes.,,,,400,450,575,700,800,1000,1000,200,250,400,500,750,600,900,30.875,,,,29.46
2025-04-24 16:12:33,True,4,strict,5,5,0,28,28,1,Male,Asian,,2006,"200,000 and over",Yes,Yes for both targets.,idk,0,,,,,,,,10000,,1000,,,,,,,,26.525,,,,34.111
2025-04-24 16:25:22,True,1,strict,6,6,0,28,28,0,Male,White,,2006,"200,000 and over",Yes,,35,2,,,,100,200,400,450,500,600,800,0,50,100,100,200,250,300,44.729,4.67,,,
