RecordedDate,Finished,var_ses,treatment,criterion,demo_sets_attempted,demo_sets_completed,demo_mistakes,sets_attempted,sets_completed,mistakes,Q9.1,Q9.2,Q9.2_7_TEXT,Q9.3,Q9.4,Q9.5,Q9.6,Q9.7,Q9.7_8_TEXT,Q9.8,Q9.9,Q9.10,Q9.11,Q9.12,Q9.12_4_TEXT,Q9.13,Q10.1_1,Q10.1_3,Q10.1_4,Q10.1_5,Q10.1_6,Q10.1_2,Q10.1_7,Q11.1_1,Q11.1_3,Q11.1_4,Q11.1_5,Q11.1_6,Q11.1_2,Q11.1_9,Q2.1_Page Submit,Q1.1_Page Submit,Q2.1_Page Submit,Q3.1_Page Submit,Q4.1_Page Submit
2025-04-24 10:32:47,True,71601,1,strict,5,5,1,25,25,1,Female,Hispanic,,1996,"75,000 - 119,999",College/ university degree or equivalent or above,No,Academia,,No,,"About 25, I forgot.",I wanted zero mistakes.,,,,50,50,50,100,50,200,50,50,75,100,100,100,100,200,32.447,6.332,,,
2025-04-24 10:33:20,True,55758,2,lenient,4,4,0,21,21,1,Female,White,,1974,"75,000 - 119,999",College/ university degree or equivalent or above,No,Clerical,,Yes,Yes for both targets.,30,2,,,Yes,5,6,7,7,9,10,10,5,6,7,6,8,9,10,14.557,,14.598,,
2025-04-24 10:34:02,True,89893,3,strict,2,2,1,18,18,0,Male,Asian,,,"120,000 - 199,999",College/ university degree or equivalent or above,Yes,High-tech manufacturing and engineering,,Yes,Yes for both targets.,,,,,Yes,0,0,0,0,0,0,1000,0,0,0,0,1000,1000,1000,160.755,,,70.58,
2025-04-24 10:35:20,True,82466,1,strict,5,5,1,21,21,0,Male,Black,,1995,"0 - 24,999",College/ university degree or equivalent or above,No,Student,,Yes,,25,0,,,,1000,500,800,750,1000,850,900,"10,60","20,55","25,600","30,650","60,700","70,750","50,1000",82.048,11.139,,,
2025-04-24 10:35:28,True,55947,3,lenient,3,3,0,15,15,0,Male,White,,1968,"50,000 - 74,999",College/ university degree or equivalent or above,Yes,Other,Legal,No,Yes for both targets.,45,4,,,Yes,10,15,20,25,30,35,40,10,15,20,25,30,35,40,64.467,,,143.116,
2025-04-24 10:35:37,True,84890,4,strict,5,5,0,29,29,1,Male,Asian,,1992,"0 - 24,999",,No,Academia,,Yes,Yes for both targets.,40,0,,,,300,200,700,600,1000,500,400,100,50,300,25,400,200,500,40.224,,,,48.897
2025-04-24 10:35:59,True,89011,4,lenient,4,4,0,23,23,0,Female,White,,1995,"25,000 - 49,999",High school diploma,No,Other,accounting,Yes,Yes for both targets.,30,0,,,,,,,,,,,,,,,,,,14.417,,,,21.548
2025-04-24 10:39:03,True,54873,3,strict,3,3,0,17,17,0,Female,Black,,1997,,College/ university degree or equivalent or above,Yes,Clerical,,Yes,Yes for both targets.,20,0,,,Yes,200,300,300,300,500,600,1000,500,300,1000,500,1000,700,1000,21.629,,,30.265,
2025-04-24 10:40:29,True,75937,1,strict,3,3,0,9,9,2,Female,White,,1999,"0 - 24,999",College/ university degree or equivalent or above,No,Academia,,Yes,,8,2,,,,,,,,,,,,,,,,,,15.794,2.287,,,
2025-04-24 10:41:28,True,69855,4,lenient,4,4,0,24,24,0,Female,Other,prefer not to say,1999,"0 - 24,999",College/ university degree or equivalent or above,No,Other,Healthcare,Yes,Yes but only for accuracy target,,,Other,OCD,,,,,,,,,,,,,,,,13.357,,,,21.327
2025-04-24 10:41:38,True,87580,4,strict,4,4,0,20,20,0,Female,Black,,1995,"50,000 - 74,999",College/ university degree or equivalent or above,No,Other,Medicine,No,Yes for both targets.,15,0,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,23.067,,,,43.307
2025-04-24 10:42:56,True,64969,1,strict,4,4,0,18,18,0,Female,White,,1994,"75,000 - 119,999",College/ university degree or equivalent or above,No,Other,Independent Contractor,No,,20,0,,,,5,5,10,6,15,15,20,5,5,10,3,20,10,20,78.376,15.445,,,
2025-04-24 10:43:34,True,91153,3,strict,6,6,0,31,31,1,Female,White,,2000,"50,000 - 74,999",College/ university degree or equivalent or above,No,Other,,Yes,Yes for both targets.,as many as possible,0,,,Yes,50,75,100,125,150,175,200,50,50,50,100,100,100,100,25.716,,,27.716,
2025-04-24 10:45:39,True,67676,1,strict,3,3,0,20,20,0,Male,Asian,,2000,"0 - 24,999",College/ university degree or equivalent or above,Yes,Academia,,Yes,,25,0,,,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,7.342,2.869,,,
2025-04-24 10:45:53,True,62428,1,strict,6,6,0,37,37,6,Male,Asian,,1995,"75,000 - 119,999",College/ university degree or equivalent or above,Yes,High-tech manufacturing and engineering,,Yes,,20,5,,,,200,300,500,600,700,800,1000,200,400,300,500,700,800,1000,13.031,2.283,,,
2025-04-24 10:45:55,True,90000,2,lenient,4,4,0,22,22,0,Female,Asian,,2007,,High school diploma,No,Student,,No,Yes but only for accuracy target,30,0,Too difficult to achieve target(s),,Yes,5,5,5,40-50,40-50,40-50,50-75,5,5,10,10,30-40,40-50,75,22.1,,7.663,,
2025-04-24 10:47:43,True,57747,3,strict,4,4,0,28,28,1,Female,White,,1999,"25,000 - 49,999",College/ university degree or equivalent or above,No,Student,,Yes,Yes but only for accuracy target,45,4,"Too difficult to achieve target(s),Did not care about target(s)",,Yes,10,10,30,10,20,20,30,5,5,10,10,10,10,30,14.056,,,48.613,
2025-04-24 10:48:16,True,63006,2,lenient,3,2,1,14,14,0,Male,Asian,,,"75,000 - 119,999",College/ university degree or equivalent or above,No,Managerial,,No,Yes for both targets.,As many as possible,,,,Yes,20,20,20,20,20,20,20,20,10,1/,20,10,20,50,27.236,,3.923,,
2025-04-24 10:49:00,True,75564,3,strict,5,5,0,31,31,0,Female,Asian,,2002,"120,000 - 199,999",College/ university degree or equivalent or above,Yes,High-tech manufacturing and engineering,,No,Yes for both targets.,20,0,,,Yes,10,15,20,30,35,40,50,10,20,30,40,50,80,100,7.01,,,10.52,
2025-04-24 10:50:17,True,83786,2,lenient,5,5,0,31,31,1,Male,Hispanic,,24,"120,000 - 199,999",College/ university degree or equivalent or above,No,Student,,Yes,Yes but only for accuracy target,I didn't have a particular number in mind. I knew I needed to go around 45 but I just tried to do as many as accurately as possible,"I wanted to make 0 mistakes ",Did not care about target(s),,Yes,200,500,600,700,900,1000,1000,300,600,650,500,700,800,1000,25.8,,48.27,,
2025-04-24 10:50:28,True,65667,2,strict,6,6,0,27,27,0,Female,Other,"Biracial, Black/White",1999,"120,000 - 199,999",College/ university degree or equivalent or above,No,Student,,No,Yes for both targets.,45,0,,,Yes,20,10,20,30,20,50,100,10,15,15,20,25,20,40,12.758,,14.872,,
2025-04-24 10:51:46,True,86368,1,strict,4,2,3,15,13,3,Male,Black,,1986,"0 - 24,999",College/ university degree or equivalent or above,No,Student,,No,,15,2,,,,4,69,4,10,6,50,4,100,600,80,3000,60,90,50,3.19,11.259,,,
2025-04-24 10:53:14,True,75085,1,strict,4,4,1,17,17,1,Female,White,,1994,"25,000 - 49,999",College/ university degree or equivalent or above,No,"Professional services (e.g. accounting, banking, consulting)",,No,,"as many as possible, I did not have a numerical goal in mind.",Ideally it would have been zero. I didn't want any.,,,,0,15,15,10,20,15,50,0,5,10,5,10,10,15,24.443,7.897,,,
2025-04-24 10:53:43,True,91006,1,strict,4,4,0,26,26,0,Female,Hispanic,,2006,"50,000 - 74,999",High school diploma,Yes,Student,,No,,40,0,,,,100,200,100,400,500,500,900,100,400,400,500,800,900,1000,37.369,25.642,,,
2025-04-24 10:53:50,True,88485,4,lenient,3,3,0,13,13,0,Male,Asian,,1992,"75,000 - 119,999",College/ university degree or equivalent or above,No,High-tech manufacturing and engineering,,Yes,Yes for both targets.,i aim to complete atleast 25,i aim to limit my self to 10 mistakes,,,,30,56,,60,100,150,200,50,30,40,67,80,100,60,144.995,,,,41.852
2025-04-24 10:54:38,True,80383,1,strict,3,3,0,18,18,0,Female,Black,,1996,"50,000 - 74,999",College/ university degree or equivalent or above,No,"Professional services (e.g. accounting, banking, consulting)",,Yes,,All about 25 of them.,None I tried to do them perfectly.,,,,400,800,300,100,600,500,700,400,400,500,800,300,700,100,9.41,4.207,,,
2025-04-24 10:55:50,True,81714,2,lenient,3,3,0,19,19,0,Male,Asian,,2000,"50,000 - 74,999",College/ university degree or equivalent or above,Yes,"Professional services (e.g. accounting, banking, consulting)",,Yes,Yes for both targets.,20,0,,,Yes,800,300,300,700,800,700,1000,20,10,10,30,50,100,50,60.306,,63.029,,
2025-04-24 10:56:02,True,66459,3,strict,3,3,1,18,18,1,Male,White,,1974,"75,000 - 119,999",College/ university degree or equivalent or above,Yes,"Professional services (e.g. accounting, banking, consulting)",,Yes,Yes for both targets.,50,0,,,Yes,50,90,250,200,330,420,480,300,290,250,410,280,450,320,34.8,,,51.506,
2025-04-24 10:57:14,True,51459,3,strict,4,4,1,22,21,5,Female,Asian,,,,College/ university degree or equivalent or above,No,Other,,No,Yes for both targets.,30,0,,,Yes,1,3,4,10,10,10,10,10,10,10,10,10,10,10,15.286,,,13.898,
2025-04-24 10:57:47,True,91080,2,lenient,4,4,0,12,12,0,Female,Asian,,,,,,,,Yes,Yes for both targets.,10,2,,,Yes,20,800,500,850,900,950,1000,100,300,600,700,850,950,900,3.226,,2.444,,
2025-04-24 10:57:50,True,89021,4,lenient,5,5,0,30,25,11,Female,White,,1999,"75,000 - 119,999",College/ university degree or equivalent or above,No,Other,auction,No,Yes for both targets.,45,10,,,,1000,1000,1000,1000,1000,1000,1000,10,100,50,125,150,200,50,4.149,,,,61.62
2025-04-24 10:58:25,True,91230,3,strict,4,4,0,18,17,1,Female,Black,,2001,"0 - 24,999",High school diploma,No,Student,,No,Yes for both targets.,At least 20-25,1,,,Yes,50%,100%,1000%,1000%,1000%,1000%,1000%,1000%,1000%,1000%,1000%,1000%,1000%,1000%,22.845,,,28.681,
2025-04-24 10:59:09,True,54034,3,strict,3,3,0,16,16,0,Male,Black,,1997,"25,000 - 49,999",College/ university degree or equivalent or above,No,Other,Clerk,Yes,Yes for both targets.,"All sets ",0,,,Yes,30,75,70,50,60,65,40,80,50,40,90,100,60,70,826.691,,,52.185,
2025-04-24 11:00:36,True,64807,3,strict,4,4,1,18,18,2,Female,Asian,,2000,,College/ university degree or equivalent or above,No,,,No,Yes for both targets.,,,,,Yes,,,,,,,,,,,,,,,102.489,,,58.378,
